,4.0,5.0,6.0,7.0,8.0,9.0
intercept,-2.6546963300660114,-1.7564776717767034,0.23644979704200553,2.222056389629768,2.0386443531101053,-0.0859765379391588
onehotencoder__Gender_Female,0.22380751067273114,-0.2516793509211591,-0.7087702439064484,0.29708529569822945,-0.1754718025741933,0.6150285910308398
onehotencoder__Gender_Male,-0.1457200497566482,0.1439514095245511,0.3766420955107458,-0.17459846298545678,0.06209873765173406,-0.2623737299449266
onehotencoder__Occupation_Accountant,-0.0417766998216633,-0.07609764917010924,-0.3995261545246033,-0.0810343579734121,0.27808753805780717,0.32034732343198047
onehotencoder__Occupation_Doctor,-0.10054552175083022,-0.21171286502875164,0.20204357217769883,1.3065459026708004,-1.3494789890700556,0.1531479010011385
onehotencoder__Occupation_Engineer,-0.12171564332162921,0.07880230149489828,-0.33985735047399457,-0.40673136565324663,0.636524468535254,0.15297758941871806
onehotencoder__Occupation_Lawyer,-0.032636691690570256,-0.0657327259668648,-0.3772892879580296,0.20951012474480413,0.35179242022681423,-0.0856438393561543
onehotencoder__Occupation_Manager,-0.007728200349142144,-0.004912488815735926,-0.011620652433841132,0.08953725337962122,-0.032818781465724665,-0.03245713031517729
onehotencoder__Occupation_Nurse,-0.4133156584956479,0.42193350597631685,0.5888145723124099,-0.6648992075279185,0.18743753477744265,-0.11997074704260358
onehotencoder__Occupation_Sales Representative,0.36282867175322064,-0.10281919827928215,-0.2571786026706726,-0.003023400749478142,-8.870409367656811e-05,0.00028123403988901836
onehotencoder__Occupation_Salesperson,-0.0312618393974179,-0.22203285148173182,0.962675967565141,-0.639448733782783,-0.07021631355359809,0.00028377065039031065
onehotencoder__Occupation_Scientist,0.5670352540329457,-0.19146474194185512,-0.2987922527108464,-0.07743949569533823,-0.0005740274247215864,0.0012352637398141781
onehotencoder__Occupation_Software Engineer,0.0,0.0,0.0,0.0,0.0,0.0
onehotencoder__Occupation_Teacher,-0.2540534833343602,0.413558178146172,-0.019695905665002882,0.21029093378200484,-0.05526726403219788,-0.29483245889661724
onehotencoder__BMI Category_Normal,-0.039520890664680015,-0.306513894651147,-0.06695814456989767,-0.10660384179138396,0.6052630545267375,-0.08566628284962917
onehotencoder__BMI Category_Normal Weight,-0.270992920441016,0.44201847498930324,-0.1461586211342093,-0.48403972252855326,0.3200506171558024,0.13912217195867263
onehotencoder__BMI Category_Obese,0.15541668080264034,-0.5918923990967137,0.3317074715552007,0.028162288776829265,-0.023546566511506443,0.1001525244735495
onehotencoder__BMI Category_Overweight,0.09515257893122812,0.3240802448942379,-0.12506026924110777,0.47786943429934325,-0.6276599895213696,-0.14438199936233376
onehotencoder__Blood Pressure_115/75,-0.001234460737082401,-0.007694131270818731,-0.023360336756848635,-0.4542671036099858,0.7216003636012275,-0.2350443312264926
onehotencoder__Blood Pressure_115/78,0.0003087064639675009,1.964165329242085e-05,0.00016598190728740658,-0.06788803332319529,-0.5274324271296562,0.5948261304283051
onehotencoder__Blood Pressure_117/76,-0.001355440371141024,-0.020689209858620067,0.2742474208277026,-0.1446260412076811,0.008536183482581994,-0.11611291287284263
onehotencoder__Blood Pressure_118/75,0.00011856639125801762,0.000128320353637494,0.0001184448054588471,-0.0476823518207186,-0.02893847815474664,0.07625549842511084
onehotencoder__Blood Pressure_119/77,-0.007537253416345764,-0.011446012676484587,-0.041658863329850956,-0.26259584001636477,0.3833964971983065,-0.060158527759260366
onehotencoder__Blood Pressure_120/80,-0.00662129952422547,-0.03556987406225878,-0.2094272215000388,1.0919397599580971,-0.6395565903890992,-0.2007647744824745
onehotencoder__Blood Pressure_121/79,-0.0010612369281586614,-0.014550282774591472,-0.08429832023030925,-0.11182944583276917,0.22895621227818638,-0.01721692651235798
onehotencoder__Blood Pressure_122/80,3.923284616775706e-05,-0.002045101455511405,-0.008462413046796211,-0.13911688490967408,0.2333669757838387,-0.08378180921802467
onehotencoder__Blood Pressure_125/80,-0.048742336824314315,-0.10212334874352658,0.4004214439203582,-0.4796364990227822,-0.15791809689575997,0.38799883756602455
onehotencoder__Blood Pressure_125/82,-0.01725772486096626,-0.04757397271805001,-0.24582696117800798,0.7847157309538072,-0.2881636795297485,-0.18589339266703378
onehotencoder__Blood Pressure_126/83,-0.11109037410865562,-0.09576761576294672,0.39421697959531876,-0.14870808967190083,-0.036974290764009266,-0.0016766092878061952
onehotencoder__Blood Pressure_128/84,0.0,0.0,0.0,0.0,0.0,0.0
onehotencoder__Blood Pressure_128/85,-0.028109424926789632,-0.035086741470055006,-0.046180473116340215,0.33238303594920643,-0.19880143030632297,-0.024204966129698545
onehotencoder__Blood Pressure_129/84,-0.08432180769344155,1.0337508399249415,-0.4768968095186481,-0.4637818853946136,-0.009285600651794668,0.000535263333556105
onehotencoder__Blood Pressure_130/85,-0.10601367724818249,-0.5527323486257768,0.12540565566778333,-0.11171141535555959,0.8037242060504106,-0.15867242048867475
onehotencoder__Blood Pressure_130/86,-0.09068954050987263,0.2543577160799355,-0.0920171151294263,-0.06484692007607938,-0.006831853290571876,2.7712926014286215e-05
onehotencoder__Blood Pressure_131/86,0.5670352540329457,-0.19146474194185512,-0.2987922527108464,-0.07743949569533823,-0.0005740274247215864,0.0012352637398141781
onehotencoder__Blood Pressure_132/87,-0.2189804532067076,0.677752578523609,-0.239586078390734,-0.20490156793312042,-0.014481628282553376,0.00019714928950703773
onehotencoder__Blood Pressure_135/90,-0.0042346854215848115,-0.21331442423948965,-0.15136039203216048,0.9102897840527971,-0.3038342510736884,-0.23754603128587426
onehotencoder__Blood Pressure_139/91,-0.011520811488565676,-0.004617876059645157,6.431857036945176e-06,-0.12383471311524545,-0.012504685159945957,0.15247165396636528
onehotencoder__Blood Pressure_140/90,0.19876138592515835,-0.502758200664257,0.3615458281807061,-0.05501904875817709,-0.002899316029134618,0.0003693513457047459
onehotencoder__Blood Pressure_140/95,-0.06883853713460562,-0.0045374269056604934,0.44115774427915605,-0.4251513726258997,-0.19784363603302887,0.25521322842003724
onehotencoder__Blood Pressure_142/92,-0.03182389363395242,-0.08451632237281118,-0.029844788482541854,0.20701605065025178,-0.008142565322425873,-0.052688480838520436
onehotencoder__Sleep Disorder_Insomnia,-0.6570782173329033,0.5039885874057622,0.1074033507806203,0.5126415679299933,-0.18512907309631466,-0.28182621568715743
onehotencoder__Sleep Disorder_Sleep Apnea,0.7970268635414166,-0.14557874571586996,-0.25791015449000854,-0.5643339169780531,-0.11897736608982684,0.28977331973233944
onehotencoder__Sleep Disorder_nan,-0.3484386410294472,-0.6824252563046266,0.34778873396370097,0.05124776294279184,0.5595376393055206,0.07228976112206
remainder__Age Norm,-0.44901141009353757,-0.7611443717691737,0.05274594737570896,0.27771487169147546,-0.29220100156012446,1.1718959643556537
remainder__Sleep Norm,-0.6414986310140014,0.16440222055865766,-1.8260819924422458,0.6516842868767235,-0.09860013265501397,1.7500942486758833
remainder__Physical Norm,-0.5558137555200929,-0.6339617742970824,-0.03522026770312523,0.2276399035945622,0.6644484012750035,0.33290749265073705
remainder__Stress Norm,0.5417250233452454,0.43683295921462073,1.150464518548367,0.43174498822580587,-1.1688795293727088,-1.3918879599613336
remainder__Heart Norm,0.9530550578024861,0.12009367016626472,-0.14637818818070797,-0.36203565318954783,-0.21165555215359896,-0.3530793344448986
remainder__Steps Norm,-0.1517874216587137,-0.6099277940076645,0.6559516282761594,-0.20192813716317282,0.5528597655492008,-0.24516804099581022
